,"British
Columbia",Alberta,Saskatchewan,Manitoba,Ontario,Quebec,New Brunswick,"Newfoundland
& Labrador",Nova Scotia
Domestic revenues plus regulatory deferrals,97,122,107,87,140,70,107,70,133
Domestic revenues,91,122,107,66,140,70,106,65,133
Regulatory deferrals**,6,0,0,21,0,0,1,5,0
